+-----------------------------------------------------------------------------------+-----------+-----------------------+
|                                       name                                        | graduated | per_pupil_expenditure |
| Berkshire Arts and Technology Charter Public School                               | 93.5      | 18349.64              |
| Danvers High                                                                      | 96.2      | 18348.72              |
| North Quincy High                                                                 | 91.5      | 18338.85              |
| Quincy High                                                                       | 93.5      | 18338.85              |
| Rising Tide Charter Public School                                                 | 98.5      | 18321.69              |
| Saugus High                                                                       | 88.1      | 18320.35              |
| Weymouth High School                                                              | 90.4      | 18306.98              |
| Westborough High                                                                  | 97.8      | 18296.72              |
| Marlborough High                                                                  | 87.2      | 18291.7               |
| West Boylston Junior/Senior High                                                  | 95.6      | 18281.63              |
| North Middlesex Regional                                                          | 92.9      | 18224.71              |
| Old Rochester Regional High                                                       | 94.8      | 18163.85              |
| Duxbury High                                                                      | 98.4      | 18103.55              |
| Ludlow Senior High                                                                | 93.3      | 18069.02              |
| Map Academy Charter School                                                        | 26.3      | 18045.03              |
| Greenfield High                                                                   | 87.4      | 18018.75              |
| East Longmeadow High                                                              | 98.3      | 18006.13              |
| Medway High                                                                       | 98.7      | 17973.38              |
| Pioneer Valley Performing Arts Charter Public School                              | 93.3      | 17972.7               |
| Sizer School: A North Central Charter Essential School                            | 100       | 17947.98              |
| Arlington High                                                                    | 96.7      | 17933.78              |
| Pentucket Regional Sr High                                                        | 96.9      | 17931.97              |
| Pioneer Valley Chinese Immersion Charter School                                   | 96.6      | 17912.21              |
| Quabbin Regional High School                                                      | 87.2      | 17883.41              |
| Georgetown High School                                                            | 96.7      | 17847.87              |
| New Heights Charter School of Brockton                                            | 92.9      | 17839.32              |
| Littleton High School                                                             | 95.4      | 17777.79              |
| Tyngsborough High School                                                          | 97.4      | 17755.94              |
| Seekonk High                                                                      | 96.1      | 17750.37              |
| Northampton High                                                                  | 94.3      | 17616.27              |
| Nipmuc Regional High                                                              | 95        | 17609.67              |
| Scituate High School                                                              | 96.8      | 17609.03              |
