+-----+----------------------------------------+-----------------+------------+
| id  |                 title                  | production_code |  air_date  |
| 132 | Buzz and the Tree                      | CYB133          | 2022-04-29 |
| 133 | The Lilting Loons                      | CYB134          | 2022-04-29 |
| 134 | Living in Disharmony                   | CYB135          | 2022-04-29 |
| 135 | Traffic Trouble                        | CYB136          | 2022-05-20 |
| 136 | A Garden is Born                       | CYB137          | 2022-05-20 |
| 137 | Clean-Up on Isle 8                     | CYB138          | 2023-04-21 |
| 140 | Trees, Please                          | CYB139          | 2023-04-28 |
| 138 | Weather or Not                         | CYB140          | 2023-05-10 |
| 139 | Weather or Not                         | CYB141          | 2023-05-11 |
+-----+----------------------------------------+-----------------+------------+
